,experiment9,experiment8,experiment7,experiment6,experiment5,experiment4,experiment3,experiment2,experiment1,experiment0
24,0.6133333333333333,0.7466666666666667,0.5866666666666667,0.6933333333333334,0.6,0.5866666666666667,0.56,0.5866666666666667,0.6266666666666667,0.5866666666666667
25,0.64,0.7066666666666667,0.5733333333333334,0.7066666666666667,0.6533333333333333,0.6666666666666666,0.6,0.6,0.64,0.5733333333333334
26,0.6,0.7466666666666667,0.6,0.6933333333333334,0.6533333333333333,0.6533333333333333,0.56,0.6266666666666667,0.6533333333333333,0.5866666666666667
27,0.6,0.7333333333333333,0.6,0.7066666666666667,0.68,0.6533333333333333,0.56,0.6266666666666667,0.6533333333333333,0.5866666666666667
28,0.6,0.6933333333333334,0.5866666666666667,0.6933333333333334,0.64,0.64,0.5733333333333334,0.64,0.6666666666666666,0.6
29,0.5866666666666667,0.6933333333333334,0.6666666666666666,0.6933333333333334,0.6666666666666666,0.6133333333333333,0.5733333333333334,0.6266666666666667,0.68,0.5866666666666667
30,0.5733333333333334,0.7333333333333333,0.68,0.6666666666666666,0.64,0.56,0.56,0.6,0.6666666666666666,0.6266666666666667
31,0.5733333333333334,0.7466666666666667,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.5733333333333334,0.6,0.5866666666666667,0.6666666666666666,0.6266666666666667
32,0.5733333333333334,0.7066666666666667,0.64,0.6933333333333334,0.6266666666666667,0.5866666666666667,0.5466666666666666,0.5866666666666667,0.6933333333333334,0.5733333333333334
33,0.5466666666666666,0.6933333333333334,0.6666666666666666,0.7066666666666667,0.6266666666666667,0.5733333333333334,0.5866666666666667,0.5733333333333334,0.6666666666666666,0.5733333333333334
34,0.5733333333333334,0.6933333333333334,0.6266666666666667,0.6933333333333334,0.6533333333333333,0.6,0.5733333333333334,0.64,0.68,0.5866666666666667
35,0.5733333333333334,0.7066666666666667,0.6133333333333333,0.6933333333333334,0.6533333333333333,0.5866666666666667,0.5466666666666666,0.64,0.68,0.6
36,0.6533333333333333,0.6933333333333334,0.6133333333333333,0.6933333333333334,0.64,0.68,0.5333333333333333,0.6133333333333333,0.6133333333333333,0.5866666666666667
37,0.6,0.72,0.5733333333333334,0.6933333333333334,0.64,0.5866666666666667,0.5333333333333333,0.6133333333333333,0.6,0.6
38,0.6,0.72,0.56,0.6933333333333334,0.64,0.7066666666666667,0.56,0.64,0.6133333333333333,0.5866666666666667
39,0.6,0.6666666666666666,0.5733333333333334,0.6933333333333334,0.64,0.6266666666666667,0.56,0.6,0.6133333333333333,0.5866666666666667
40,0.6,0.6533333333333333,0.5333333333333333,0.6933333333333334,0.6266666666666667,0.6266666666666667,0.56,0.6266666666666667,0.68,0.5866666666666667
41,0.6,0.6666666666666666,0.5466666666666666,0.6933333333333334,0.6266666666666667,0.6266666666666667,0.56,0.64,0.6933333333333334,0.5733333333333334
42,0.6,0.6666666666666666,0.56,0.6933333333333334,0.6266666666666667,0.6666666666666666,0.5733333333333334,0.6,0.68,0.5866666666666667
43,0.6,0.6666666666666666,0.56,0.6933333333333334,0.64,0.5866666666666667,0.5733333333333334,0.5733333333333334,0.6666666666666666,0.5866666666666667
44,0.6,0.68,0.56,0.7066666666666667,0.6533333333333333,0.6533333333333333,0.5733333333333334,0.5733333333333334,0.6666666666666666,0.5866666666666667
45,0.5866666666666667,0.68,0.5733333333333334,0.6933333333333334,0.64,0.6133333333333333,0.5866666666666667,0.6266666666666667,0.6266666666666667,0.6133333333333333
46,0.5733333333333334,0.68,0.5733333333333334,0.68,0.64,0.64,0.5866666666666667,0.64,0.6266666666666667,0.6133333333333333
47,0.5733333333333334,0.68,0.56,0.6933333333333334,0.64,0.68,0.5866666666666667,0.64,0.6133333333333333,0.5866666666666667
48,0.5733333333333334,0.6533333333333333,0.5333333333333333,0.7066666666666667,0.64,0.68,0.5866666666666667,0.64,0.64,0.5866666666666667
49,0.5733333333333334,0.6533333333333333,0.5466666666666666,0.6666666666666666,0.64,0.6666666666666666,0.5866666666666667,0.5866666666666667,0.64,0.5733333333333334
50,0.5866666666666667,0.6533333333333333,0.5466666666666666,0.6933333333333334,0.6533333333333333,0.6666666666666666,0.5866666666666667,0.6133333333333333,0.6266666666666667,0.5333333333333333
51,0.5866666666666667,0.6666666666666666,0.5333333333333333,0.7066666666666667,0.6666666666666666,0.5466666666666666,0.5866666666666667,0.6266666666666667,0.6266666666666667,0.56
52,0.5866666666666667,0.68,0.5466666666666666,0.68,0.6666666666666666,0.5333333333333333,0.5866666666666667,0.6,0.72,0.5733333333333334
53,0.5866666666666667,0.6666666666666666,0.56,0.6933333333333334,0.6666666666666666,0.5866666666666667,0.5866666666666667,0.6,0.7066666666666667,0.5733333333333334
54,0.5866666666666667,0.6666666666666666,0.56,0.68,0.64,0.64,0.5866666666666667,0.6266666666666667,0.6933333333333334,0.5733333333333334
55,0.5866666666666667,0.64,0.56,0.68,0.64,0.5333333333333333,0.5866666666666667,0.6133333333333333,0.56,0.56
56,0.5866666666666667,0.6533333333333333,0.6,0.68,0.6266666666666667,0.5333333333333333,0.6,0.6133333333333333,0.5866666666666667,0.5733333333333334
57,0.5866666666666667,0.68,0.5466666666666666,0.6666666666666666,0.64,0.5333333333333333,0.6,0.6266666666666667,0.64,0.5333333333333333
58,0.6,0.6666666666666666,0.56,0.68,0.6133333333333333,0.5733333333333334,0.6,0.6,0.64,0.5466666666666666
59,0.6,0.6666666666666666,0.56,0.68,0.6533333333333333,0.5866666666666667,0.5733333333333334,0.6133333333333333,0.6,0.5466666666666666
60,0.6133333333333333,0.68,0.56,0.6666666666666666,0.6133333333333333,0.5333333333333333,0.5866666666666667,0.6,0.6,0.5466666666666666
61,0.6133333333333333,0.6533333333333333,0.5866666666666667,0.68,0.6133333333333333,0.5333333333333333,0.5866666666666667,0.6,0.6133333333333333,0.56
62,0.6,0.7066666666666667,0.5733333333333334,0.6933333333333334,0.6533333333333333,0.6,0.5866666666666667,0.6266666666666667,0.5866666666666667,0.56
63,0.6133333333333333,0.7066666666666667,0.5466666666666666,0.68,0.6266666666666667,0.6,0.5866666666666667,0.5733333333333334,0.5866666666666667,0.56
64,0.5866666666666667,0.7066666666666667,0.5466666666666666,0.7066666666666667,0.6133333333333333,0.6,0.6,0.5866666666666667,0.6266666666666667,0.5466666666666666
65,0.6133333333333333,0.72,0.5866666666666667,0.6933333333333334,0.6666666666666666,0.6,0.6133333333333333,0.5866666666666667,0.64,0.5466666666666666
66,0.6133333333333333,0.7066666666666667,0.5733333333333334,0.72,0.64,0.5866666666666667,0.6,0.5866666666666667,0.6266666666666667,0.56
67,0.6,0.7066666666666667,0.5866666666666667,0.72,0.68,0.5866666666666667,0.6266666666666667,0.5866666666666667,0.6266666666666667,0.56
68,0.6,0.6933333333333334,0.5733333333333334,0.7066666666666667,0.64,0.5866666666666667,0.6266666666666667,0.5733333333333334,0.7066666666666667,0.56
69,0.6133333333333333,0.7066666666666667,0.5866666666666667,0.68,0.6266666666666667,0.6,0.6,0.5733333333333334,0.7066666666666667,0.56
70,0.5866666666666667,0.72,0.6,0.6933333333333334,0.6666666666666666,0.5733333333333334,0.6,0.6133333333333333,0.7066666666666667,0.5466666666666666
71,0.5866666666666667,0.6933333333333334,0.5866666666666667,0.6933333333333334,0.68,0.5733333333333334,0.6,0.6133333333333333,0.6933333333333334,0.56
72,0.5466666666666666,0.6666666666666666,0.6,0.7066666666666667,0.6666666666666666,0.56,0.6666666666666666,0.6266666666666667,0.68,0.56
73,0.6,0.6933333333333334,0.6,0.6933333333333334,0.6666666666666666,0.5733333333333334,0.6666666666666666,0.5733333333333334,0.68,0.52
74,0.6266666666666667,0.7066666666666667,0.5866666666666667,0.6933333333333334,0.6666666666666666,0.56,0.6666666666666666,0.5733333333333334,0.72,0.5466666666666666
75,0.64,0.7066666666666667,0.5866666666666667,0.6933333333333334,0.6133333333333333,0.56,0.6,0.6133333333333333,0.7333333333333333,0.5733333333333334
76,0.6133333333333333,0.7066666666666667,0.5866666666666667,0.7066666666666667,0.6533333333333333,0.56,0.6266666666666667,0.5733333333333334,0.72,0.56
77,0.6133333333333333,0.6933333333333334,0.56,0.7066666666666667,0.6533333333333333,0.5866666666666667,0.68,0.6,0.72,0.5466666666666666
78,0.6,0.6666666666666666,0.5733333333333334,0.7066666666666667,0.6533333333333333,0.6,0.6133333333333333,0.56,0.72,0.5733333333333334
79,0.6,0.68,0.5866666666666667,0.7066666666666667,0.6533333333333333,0.6133333333333333,0.6133333333333333,0.56,0.6666666666666666,0.5733333333333334
80,0.5866666666666667,0.68,0.5733333333333334,0.7066666666666667,0.6533333333333333,0.6133333333333333,0.5866666666666667,0.56,0.6533333333333333,0.5733333333333334
81,0.6,0.6533333333333333,0.5733333333333334,0.6933333333333334,0.64,0.6133333333333333,0.68,0.5866666666666667,0.7066666666666667,0.56
