,svd_component_n,explained_variance_ratio
204,204,0.0007788231910069023
205,205,0.0007777134950445391
206,206,0.0007717721724117613
207,207,0.0007688294745605532
208,208,0.0007661515445782728
209,209,0.0007593797556705266
210,210,0.0007573715091577702
211,211,0.0007562204035484446
212,212,0.0007508682593610921
213,213,0.0007465895544253781
214,214,0.0007465505451887811
215,215,0.0007432818116133778
216,216,0.0007396650878144769
217,217,0.0007392476876581926
218,218,0.0007329200558008803
219,219,0.0007305318796046535
220,220,0.0007290333201716815
221,221,0.0007259274412611419
222,222,0.0007220389005283764
223,223,0.0007203526943743744
224,224,0.0007162546820707567
225,225,0.0007141801262507976
226,226,0.0007120238530425775
227,227,0.0007110547869648776
228,228,0.0007062142329096711
229,229,0.0007059006917657166
230,230,0.0007047313781039814
231,231,0.000700656774474616
